Variable,Calib
frac_area_cropland_calculated_bevs_and_spices,
frac_area_cropland_calculated_cereals,
frac_area_cropland_calculated_coffee,
frac_area_cropland_calculated_fibers,
frac_area_cropland_calculated_fruits,
frac_area_cropland_calculated_maize,
frac_area_cropland_calculated_nuts,
frac_area_cropland_calculated_oil_bearing,
frac_area_cropland_calculated_pulses,
frac_area_cropland_calculated_rice,
frac_area_cropland_calculated_tubers,
frac_area_cropland_calculated_vegetables,
net_imports_agrc_bevs_and_spices_tonne,
net_imports_agrc_cereals_tonne,
net_imports_agrc_coffee_tonne,
net_imports_agrc_fibers_tonne,
net_imports_agrc_fruits_tonne,
net_imports_agrc_maize_tonne,
net_imports_agrc_nuts_tonne,
net_imports_agrc_oil_bearing_tonne,
net_imports_agrc_pulses_tonne,
net_imports_agrc_rice_tonne,
net_imports_agrc_tubers_tonne,
net_imports_agrc_vegetables_tonne,
emission_co2e_co2_lndu_conversion_croplands,
emission_co2e_co2_lndu_conversion_forests_mangroves,
emission_co2e_co2_lndu_conversion_forests_primary,
emission_co2e_co2_lndu_conversion_forests_secondary,
emission_co2e_co2_lndu_conversion_grasslands,
emission_co2e_co2_lndu_conversion_other,
emission_co2e_co2_lndu_conversion_settlements,
emission_co2e_co2_lndu_conversion_wetlands,
area_lndu_croplands_ha,
area_lndu_forests_mangroves_ha,
area_lndu_forests_primary_ha,
area_lndu_forests_secondary_ha,
area_lndu_grasslands_ha,
area_lndu_other_ha,
area_lndu_settlements_ha,
area_lndu_wetlands_ha,
net_imports_lvst_buffalo,
net_imports_lvst_cattle_dairy,
net_imports_lvst_cattle_nondairy,
net_imports_lvst_chickens,
net_imports_lvst_goats,
net_imports_lvst_horses,
net_imports_lvst_mules,
net_imports_lvst_pigs,
net_imports_lvst_sheep,
emissions_co2e_n2o_lndu_pastures,
emissions_co2e_co2_lndu_pastures,
emissions_co2e_ch4_lndu_wetlands,
emission_co2e_co2_frst_sequestration_mangroves,
emission_co2e_co2_frst_sequestration_primary,
emission_co2e_co2_frst_sequestration_secondary,
emission_co2e_ch4_frst_methane_mangroves,
emission_co2e_ch4_frst_methane_primary,
emission_co2e_ch4_frst_methane_secondary,
area_agrc_crops_bevs_and_spices_ha,
area_agrc_crops_cereals_ha,
area_agrc_crops_coffee_ha,
area_agrc_crops_fibers_ha,
area_agrc_crops_fruits_ha,
area_agrc_crops_maize_ha,
area_agrc_crops_nuts_ha,
area_agrc_crops_oil_bearing_ha,
area_agrc_crops_pulses_ha,
area_agrc_crops_rice_ha,
area_agrc_crops_tubers_ha,
area_agrc_crops_vegetables_ha,
emission_co2e_ch4_agrc_crop_activity_bevs_and_spices,
emission_co2e_ch4_agrc_crop_activity_cereals,
emission_co2e_ch4_agrc_crop_activity_coffee,
emission_co2e_ch4_agrc_crop_activity_fibers,
emission_co2e_ch4_agrc_crop_activity_fruits,
emission_co2e_ch4_agrc_crop_activity_maize,
emission_co2e_ch4_agrc_crop_activity_nuts,
emission_co2e_ch4_agrc_crop_activity_oil_bearing,
emission_co2e_ch4_agrc_crop_activity_pulses,
emission_co2e_ch4_agrc_crop_activity_rice,
emission_co2e_ch4_agrc_crop_activity_tubers,
emission_co2e_ch4_agrc_crop_activity_vegetables,
emission_co2e_co2_agrc_crop_activity_bevs_and_spices,
emission_co2e_co2_agrc_crop_activity_cereals,
emission_co2e_co2_agrc_crop_activity_coffee,
emission_co2e_co2_agrc_crop_activity_fibers,
emission_co2e_co2_agrc_crop_activity_fruits,
emission_co2e_co2_agrc_crop_activity_maize,
emission_co2e_co2_agrc_crop_activity_nuts,
emission_co2e_co2_agrc_crop_activity_oil_bearing,
emission_co2e_co2_agrc_crop_activity_pulses,
emission_co2e_co2_agrc_crop_activity_rice,
emission_co2e_co2_agrc_crop_activity_tubers,
emission_co2e_co2_agrc_crop_activity_vegetables,
emission_co2e_n2o_agrc_crop_activity_bevs_and_spices,
emission_co2e_n2o_agrc_crop_activity_cereals,
emission_co2e_n2o_agrc_crop_activity_coffee,
emission_co2e_n2o_agrc_crop_activity_fibers,
emission_co2e_n2o_agrc_crop_activity_fruits,
emission_co2e_n2o_agrc_crop_activity_maize,
emission_co2e_n2o_agrc_crop_activity_nuts,
emission_co2e_n2o_agrc_crop_activity_oil_bearing,
emission_co2e_n2o_agrc_crop_activity_pulses,
emission_co2e_n2o_agrc_crop_activity_rice,
emission_co2e_n2o_agrc_crop_activity_tubers,
emission_co2e_n2o_agrc_crop_activity_vegetables,
emission_co2e_ch4_lvst_entferm_buffalo,
emission_co2e_ch4_lvst_entferm_cattle_dairy,
emission_co2e_ch4_lvst_entferm_cattle_nondairy,
emission_co2e_ch4_lvst_entferm_chickens,
emission_co2e_ch4_lvst_entferm_goats,
emission_co2e_ch4_lvst_entferm_horses,
emission_co2e_ch4_lvst_entferm_mules,
emission_co2e_ch4_lvst_entferm_pigs,
emission_co2e_ch4_lvst_entferm_sheep,
emission_co2e_ch4_lvst_mm_buffalo,
emission_co2e_ch4_lvst_mm_cattle_dairy,
emission_co2e_ch4_lvst_mm_cattle_nondairy,
emission_co2e_ch4_lvst_mm_chickens,
emission_co2e_ch4_lvst_mm_goats,
emission_co2e_ch4_lvst_mm_horses,
emission_co2e_ch4_lvst_mm_mules,
emission_co2e_ch4_lvst_mm_pigs,
emission_co2e_ch4_lvst_mm_sheep,
emission_co2e_n2o_lvst_mm_buffalo,
emission_co2e_n2o_lvst_mm_cattle_dairy,
emission_co2e_n2o_lvst_mm_cattle_nondairy,
emission_co2e_n2o_lvst_mm_chickens,
emission_co2e_n2o_lvst_mm_goats,
emission_co2e_n2o_lvst_mm_horses,
emission_co2e_n2o_lvst_mm_mules,
emission_co2e_n2o_lvst_mm_pigs,
emission_co2e_n2o_lvst_mm_sheep,
lvst_pop_buffalo,
lvst_pop_cattle_dairy,
lvst_pop_cattle_nondairy,
lvst_pop_chickens,
lvst_pop_goats,
lvst_pop_horses,
lvst_pop_mules,
lvst_pop_pigs,
lvst_pop_sheep,
emission_co2e_subsector_total_agrc,1
emission_co2e_subsector_total_frst,1
emission_co2e_subsector_total_lndu,1
emission_co2e_subsector_total_lvst,1
